input,reference,prediction_raw,prediction_clean,fold,chrf,bleu,geo,has_rep,pred_len,ref_len,len_ratio,ref_has_num,ref_words,input_len
translate Akkadian to English: 30 ma-na KÙ.BABBAR ni-is-ha-sú DIRI ša-du-a-sú ša-bu ku-nu-ki-a a-na um-mì-a-ni-a ša ki-ma i-a-tí ù hi-na-a šu-ku-bu-um ú-bi4-il5,"30 minas of silver, its excise added, his transport fee paid, under my seals, Šu-Kūbum brought to my investors and my representatives and to hinnāya.","Šu-Kūbum brought 30 minas of silver, its import duty added, its transport tariff paid for, under my seal, to my investors, my representatives and hinnaya.","Šu-Kūbum brought 30 minas of silver, its import duty added, its transport tariff paid for, under my seal, to my investors, my representatives and hinnaya.",0,67.42074601848694,30.196935846276375,45.12094793140259,False,154,149,1.0335570469798658,True,25,160
translate Akkadian to English: IGI a-mur-{d}UTU DUMU mì-šar-ra-bí IGI a-mur-{d}UTU DUMU ha-ri-im-tim,"(Entrusted to him) in the presence of Amur-Šamaš, son of Mīšar-rabi, of Amur-Šamaš, son of harimtum.","Witnessed by Amur-Šamaš son of Mīšar-rabi, by Amur-Šamaš son of harimtum.","Witnessed by Amur-Šamaš son of Mīšar-rabi, by Amur-Šamaš son of harimtum.",0,53.33226322343918,20.465180429465676,33.03716679104671,False,73,100,0.73,False,16,100
translate Akkadian to English: KÙ.BABBAR i-a-am 1 ma-na KÙ.BABBAR ša hi-na-a a pá-ni ILLAT-tim 1 ½ ma-na KÙ.BABBAR ša um-mì-iš-ha-ra 15 GÍN KÙ.KI ša lá-ma-sí-tim ú a-šur-iš-tí-kál ŠÀ.BA ½ ma-na 5 GÍN ša lá-ma-sí-tim ⅓ ma-na 5 GÍN KÙ.BABBAR,"2 minas of silver belonging to me; 1 mina of silver belonging to hinnāya, (sent) to meet the caravan; 1.5 mina of silver of Ummī-Išhara; 15 shekels of gold of Lamassutum and Aššuriš-tikal, thereof 35 shekels of silver of Lamassutum (and?) 25 shekels of silver being my?",1 mina of silver belonging to hinnaya before the caravan;,1 mina of silver belonging to hinnaya before the caravan;,0,19.557766361373194,0.819510985250181,4.003474038894444,False,57,269,0.21189591078066913,True,47,239
translate Akkadian to English: mì-ma a-nim ni-is-ha-sú DIRI ša-du-a-sú ša-bu ku-nu-ki-a a ša ki-ma i-a-tí šu-ku-bu-um,"temple funds - all this, its import tax added, his transport fee paid, under my seals, Šu-Kūbum brought to my representatives.","All this, its import duty added, its transport tariff paid - under my seal - Šu-Kūbum.","All this, its import duty added, its transport tariff paid - under my seal - Šu-Kūbum.",0,45.36950895491547,13.376233932079383,24.634795821449785,False,86,126,0.6825396825396826,False,21,117
translate Akkadian to English: IGI lá-qé-ep DUMU i-zi-za-am-ì-lí IGI a-šur-na-da,"In the presence of Lā-qēp, son of Izzizam-ilī, of Aššur-nādā.","Witnessed by Lā-qēp son of Izzizam-ilī, by Aššur-nādā.","Witnessed by Lā-qēp son of Izzizam-ilī, by Aššur-nādā.",0,56.63506436338363,24.051990745470516,36.90780464803115,False,54,61,0.8852459016393442,False,10,80
translate Akkadian to English: a-na-ku dam-qá-tim a-šé-e-a-kum a-ta lam-ni-iš té-pu-uš-a-ni <gap> ta-ṣa-ba-at ú,"While I am bent on doing what is good for you, you have treated me badly and you have seized <gap> As for me, my lord is consuming me like bread.","I sue you for good quality. As for you, you are strict, <gap> you have seized <gap>","I sue you for good quality. As for you, you are strict, <gap> you have seized <gap>",0,30.736121947324225,20.694308983315867,25.220285575837632,False,83,145,0.5724137931034483,False,31,111
translate Akkadian to English: ki-ma a-ma-kam tù-ša-hi-zi-ni um-ma a-ta-ma ší-im am-tim a-na me-er-i-a lá,"As you instructed me there, saying: 'You must not give the price of the slave-girl to my son!', for that reason I have not given her to your son.","Since you instructed me there, saying: Do not give the price of the slave-girls to my son.""""","Since you instructed me there, saying: Do not give the price of the slave-girls to my son.""""",0,55.72567392287401,30.738579843214083,41.38753528775513,False,92,145,0.6344827586206897,False,29,105
translate Akkadian to English: ší-im URUDU ù KÙ.BABBAR ba-áb-tám ša nu-a-am ú-ša-zi-za-ku-ni šé-bi4-lam-ma ù,"Send me the price of the copper and the outstanding silver for which I made the native responsible to you and send me a message then I will give your slave-girl to your representative.""","Send me the proceeds from the copper and the silver, the outstanding claims that I am alive for you, and then I shall collect the outstanding claims that I am alive.","Send me the proceeds from the copper and the silver, the outstanding claims that I am alive for you, and then I shall collect the outstanding claims that I am alive.",0,37.08473763529664,12.618106467735652,21.631901622608595,False,165,185,0.8918918918918919,False,34,108
translate Akkadian to English: a-na e-lá-ma qí-bi4-ma um-ma a-šur-DU10-ma a-na-kam e-dí-na-a ú-ša-sí-ih-ma pí-šu en-nam-a-šur DUMU dí-dì-a-a iš-me,"Say to Elamma, thus speaks Aššur-ṭāb: I forced Eddinaya to appear here and Ennam-Aššur, son of Didi(a)ya, heard his statement.","To Elamma from Aššur-ṭāb: I questioned Edinaya here, and Ennam-Aššur son of Didiya heard his statement.","To Elamma from Aššur-ṭāb: I questioned Edinaya here, and Ennam-Aššur son of Didiya heard his statement.",0,54.53411600608733,14.007545343081018,27.638543787618563,False,103,126,0.8174603174603174,False,20,146
translate Akkadian to English: a-na a-lim{ki},He is now on his way to the City.,To the City.,To the City.,0,32.869994104610456,13.267398701010466,20.88299109528447,False,12,33,0.36363636363636365,False,9,45
translate Akkadian to English: ša hu-bu-ul en-na-nim ku-nu-ki-a DUMU dí-dí-a na-áš-a-kum,"A tablet recording a debt of Ennānum, with my seals, Didiya's son has with him for you.",Concerning Ennānum's debt I bring you under my seal under my seal.,Concerning Ennānum's debt I bring you under my seal under my seal.,0,23.013206931453393,2.549704254217688,7.660083003226447,False,66,87,0.7586206896551724,False,17,88
translate Akkadian to English: ú-za-kà a-ta-lá-kam,"I will clear your merchandise (then) I will leave.""",I shall come.,I shall come.,0,7.832500317017615,2.002152301552759,3.9600326433792854,False,13,51,0.2549019607843137,False,9,50
translate Akkadian to English: 1 ⅓ GÍN a-na e-re-qí-im qá-nu-e áš-qúl 1 ⅔ GÍN a sú-ba-ri-im áš-qúl ⅓ ma-na KÙ.BABBAR a-na a-bar-ni-im áš-qúl ⅙ GÍN a-na um-ṣí-im ¼ GÍN a šu-um-ki <gap> na-ru-uq GIG <gap> GÍN a-na <gap> ha-áš-lá-tim <gap> a-wa-ar-nu-a-lim ⅔ GÍN a-na e-ṣé áš-qúl ⅔ GÍN a pá-e ú-ša-qí-il5 1 bi-il5-té-en ½ GÍN áš-qúl ¼ GÍN a-na na-pá-hi-im 95,"I paid 4 shekels for a scarf of -weave, 1.3333 shekel for a wagonload of reed; I paid 1.6666 shekel for ; I paid 0.3333 mina of silver for an Abarnian textile, 1 / 6 shekel for a piece of dried meat, 1 / 4 shekel for onions, <gap> shekels for <gap> bags of wheat<gap>;I paid <gap> shekels for ?, <gap> for a <gap>; I paid 0.6666 shekel for firewood; 0.6666 shekels I paid for chaff, for a double load I paid 0.5 shekel; 1 / 4 shekel for the blacksmith.",1 ⅓ shekel for a transport tariff I paid; I paid 1 ⅔ shekel for the slave; I paid ⅓ mina of silver to Abarnian;,1 ⅓ shekel for a transport tariff I paid; I paid 1 ⅔ shekel for the slave; I paid ⅓ mina of silver to Abarnian;,0,16.22139149520634,0.7710688831892955,3.5366382659221864,False,111,452,0.24557522123893805,True,91,355
translate Akkadian to English: ki-ra-tim a-na <gap> ¼ GÍN.TA ù 7 ½ ŠE.TA ½ GÍN a-na <gap> ⅙ GÍN a-na <gap> a-na <gap>,"I supplied 95 drinks to <gap> at 52.5 grains (of silver) each, 0.5 shekel for <gap> 1 / 6 shekel for <gap> for <gap>",<gap> 1 shekel and 7 ½ grains; ½ shekel for <gap> ⅙ shekel for <gap>,<gap> 1 shekel and 7 ½ grains; ½ shekel for <gap> ⅙ shekel for <gap>,0,37.88185230187221,24.386587563216366,30.394228205638584,False,68,116,0.5862068965517241,True,24,117
translate Akkadian to English: um-ma <gap>-ma a-na <gap>-a-šùr ù šu-ma-bi-a-ma qí-bi-ma a-ba-ú-a a-tù-nu be-lu-a a-tù-nu ih-da-ma i-na {d}UTU-ši ša šu-ma-bi-a e-ra-ba-ni ta-ma-la-ke-a pì-tí-a-ma ṭup-pá-am ša zu-ba a-na šu-ma-bi-a pí-iq-dá-ma,"Thus <gap> say to <gap>-Aššur and Šumi-abiya: Please, my fathers, my lords, take care to open, the very day Šumi-abiya arrives, my tablet boxes and entrust the tablet of Zuba to Šumi-abiya to bring it across.","From <gap> to <gap>-Aššur and Šumma-biya: My dear fathers and lords, take care to open for the day Šumma-biya arrives, and entrust the tablet concerning Zuba to Šumma-biya.","From <gap> to <gap>-Aššur and Šumma-biya: My dear fathers and lords, take care to open for the day Šumma-biya arrives, and entrust the tablet concerning Zuba to Šumma-biya.",0,53.31373748722882,28.966568319420034,39.29778644259036,False,172,208,0.8269230769230769,False,36,241
