doc_idx,oare_id,sent_idx,n_sents,akk_bytes,is_long,eng_sent,akk_pred,match_start_tok,match_end_tok,match_score,matched_segment
0,c6f8a7ce-a489-4ff7-9ced-a8c5c3da40e1,0,5,388,False,Kid-ahšu and his sons owe 18 shekels of silver to Ali-ahum.,18 GÍN KÙ.BABBAR i-ṣé-er ki-da-aḫ-šu ù me-er-ú-šu a-lá-ḫu-um i-šu,0,9,90.59108721099783,18 GÍN KÙ.BABBAR i-ṣé-er ki-da-aḫ-šu ù me-er-i-šu a-lá-ḫu-um i-šu
0,c6f8a7ce-a489-4ff7-9ced-a8c5c3da40e1,1,5,388,False,"He will measure out 6 sacks (of grain), half barley, half wheat at harvest time.",6 na-ru-uq mì-iš-lam ŠE-am mì-iš-lam GIG a-na e-ṣé i-ša-qal,9,14,68.69540796333114,6 na-ru-uq mì-iš-lam ŠE-um mì-iš-lam₅
0,c6f8a7ce-a489-4ff7-9ced-a8c5c3da40e1,2,5,388,False,"15 shekels of silver is owed by haršumnuman; he will measure out 5 sacks (of grain), half barley, half wheat, at harvest time.",15 GÍN KÙ.BABBAR KI ḫa-ar-šu-um-nu-ma-an 5 na-ru-uq mì-iš-lam ŠE-am mì-iš-lam GIG a-na e-ṣé-e i-ša-qal,18,25,70.03960823241103,15 GÍN KÙ.BABBAR iš-tí ḫa-ar-šu-um-nu-ma-an 5 na-ru-uq
0,c6f8a7ce-a489-4ff7-9ced-a8c5c3da40e1,3,5,388,False,Waldi-ilum gave this silver.,wa-al-dí-DINGIR KÙ.BABBAR a-nim wa-al-dí-DINGIR i-dí-in,34,36,75.57249983779691,wa-al-dí-DINGIR i-dí-in
0,c6f8a7ce-a489-4ff7-9ced-a8c5c3da40e1,4,5,388,False,"Witnessed by happu-aššu, by Mannum-balum-Aššur.",IGI ḫa-pu-a-šu IGI ma-nu-ba-lúm-a-šur,36,40,100.0,IGI ḫa-pu-a-šu IGI ma-nu-ba-lúm-a-šur
1,3327f53e-3d10-42fd-88fe-45aa99e4a6f9,0,8,937,True,"To Ali-ahum from Damiq-pī-Aššur: 1 mina of silver, 5 minas of sickles, bronze pins worth 5 shekels of silvers with the first transport - also, rings - give that to a reliable affiliated trader so he may bring it.",a-na a-lá-ḫi-im qí-bi-ma um-ma SIG₅-pí-a-šur-ma 1 ma-na KÙ.BABBAR 5 ma-na ni-ga-li ša 5 GÍN KÙ.BABBAR sí-pá-ra-tim i-na a-li-ki-im pá-ni-im-ma ú a-ni-ú-tum a-na DUMU um-me-a-nim ke-nim dí-in-ma lu-ub-lam,3,32,80.87869267813824,um-ma SIG₅-pí-a-šur-ma 1 ma-na KÙ.BABBAR 5 ma-na URUDU 5 ma-na ni-ga-li ša 5 GÍN KÙ.BABBAR ṣí-pá-ra-tim i-na a-li-ki-im pá-ni-im-ma ú a ni-qí za-áp-ru-tim a-na DUMU um-me-a-nim ke-nim dí-in-ma lu-ub-lam
1,3327f53e-3d10-42fd-88fe-45aa99e4a6f9,1,8,937,True,<gap>-Amurrum should come.,<gap>-ma-ra-am li-li-kam,57,58,69.71804617236347,li-li-kam
1,3327f53e-3d10-42fd-88fe-45aa99e4a6f9,2,8,937,True,<gap> to you <gap> to an affiliated trader <gap> the matter <gap> have him come with the first transport.,<gap> a-ku-um <gap> a-na DUMU um-me-a-nim <gap> a-wa-tum iš-tí pá-ni-im-ma li-li-kam,38,43,70.18737017166163,<gap> a-na DUMU um-me-a-ni-im <gap>
1,3327f53e-3d10-42fd-88fe-45aa99e4a6f9,3,8,937,True,"<gap> Aššur-imittī owes me 12 shekels of silver Amur-Ištar <gap> Amur-Ištar <gap> the matter <gap> Make him pay the silver, seal it and send it to me.",<gap> 12 GÍN KÙ.BABBAR a-šur-i-mì-tí ḫa-bu-lam a-mur-IŠTAR a-mur-IŠTAR <gap> a-wa-tim <gap> KÙ.BABBAR ša-áš-qí-il₅-šu-ma ku-un-kà-ma šé-bi₄-lam,60,75,80.67998849473048,12 GÍN KÙ.BABBAR a-šur-i-mì-tí ḫa-bu-lam a-mur-IŠTAR <gap> ta kà <gap> a-mur-IŠTAR a-wa-at ma-<gap> KÙ.BABBAR ša-áš-qí-il₅-šu-ma
1,3327f53e-3d10-42fd-88fe-45aa99e4a6f9,4,8,937,True,"My dear brother, a final report should come to me and <gap>with the caravan.",a-ḫi a-ta ga-me-er tí-ir-tí li-li-kam-ma iš-tí ILLAT-tim li-li-kam,91,95,40.44472894656545,lá wa-<gap> iš-tí ILLAT-tim
